"DAM","Channel","Trt","HrsAtDeath","Status"
13,1,"dead",44.5833333333333,1
13,2,"dead",39.8833333333333,1
13,3,"dead",31.5333333333333,1
13,4,"dead",42.7666666666667,1
13,5,"dead",65.9833333333333,1
13,6,"dead",69.8166666666667,0
13,7,"dead",40.15,1
13,8,"dead",18.3,1
13,9,"dead",30.3666666666667,1
13,10,"dead",49.2833333333333,1
13,11,"dead",52.2333333333333,1
13,12,"dead",53.7,1
13,13,"dead",59.9,1
13,14,"dead",69.8166666666667,0
13,15,"dead",46.15,1
13,16,"dead",60.3666666666667,1
13,17,"dead",41.95,1
13,18,"dead",44.5166666666667,1
13,19,"dead",64.0666666666667,1
13,20,"dead",69.8166666666667,0
13,21,"dead",69.8166666666667,0
13,22,"dead",59.7166666666667,1
13,23,"dead",48.1166666666667,1
13,24,"dead",50.2666666666667,1
13,25,"dead",65.6333333333333,1
13,26,"dead",63.2,1
13,27,"dead",41.7833333333333,1
13,28,"dead",49.1833333333333,1
13,29,"dead",41.9,1
13,30,"dead",46.65,1
13,31,"dead",45.1833333333333,1
13,32,"dead",62.65,1
14,1,"no_yeast",49.45,1
14,2,"no_yeast",44.3833333333333,1
14,3,"no_yeast",62.0666666666667,1
14,4,"no_yeast",42.05,1
14,5,"no_yeast",46.7666666666667,1
14,6,"no_yeast",44.6833333333333,1
14,7,"no_yeast",37.15,1
14,8,"no_yeast",69.8,0
14,9,"no_yeast",33.65,1
14,10,"no_yeast",41.7666666666667,1
14,11,"no_yeast",51.5833333333333,1
14,12,"no_yeast",45.3666666666667,1
14,13,"no_yeast",32.75,1
14,14,"no_yeast",52,1
14,15,"no_yeast",39.5,1
14,16,"no_yeast",44.0166666666667,1
14,17,"no_yeast",50.4333333333333,1
14,18,"no_yeast",39.9833333333333,1
14,19,"no_yeast",37.4666666666667,1
14,20,"no_yeast",44.05,1
14,21,"no_yeast",44.8833333333333,1
14,22,"no_yeast",31.0333333333333,1
14,23,"no_yeast",35.8833333333333,1
14,24,"no_yeast",55.0666666666667,1
14,25,"no_yeast",21.3833333333333,1
14,26,"no_yeast",50.8,1
14,27,"no_yeast",41.25,1
14,28,"no_yeast",43.45,1
14,29,"no_yeast",48.6,1
14,30,"no_yeast",18.35,1
14,31,"no_yeast",43.7666666666667,1
14,32,"no_yeast",24.6666666666667,1
25,1,"live",122.5,1
25,2,"live",74.4166666666667,1
25,3,"live",74.9833333333333,1
25,4,"live",69.8333333333333,1
25,5,"live",65.7833333333333,1
25,6,"live",90.2333333333333,1
25,7,"live",98.35,1
25,8,"live",164.8,1
25,9,"live",116.883333333333,1
25,10,"live",90.15,1
25,11,"live",114.733333333333,1
25,12,"live",140,1
25,13,"live",97.4333333333333,1
25,14,"live",91.4833333333333,1
25,15,"live",99.3833333333333,1
25,16,"live",118.7,1
25,17,"live",110.683333333333,1
25,18,"live",73.5166666666667,1
25,19,"live",94.45,1
25,20,"live",163.516666666667,1
25,21,"live",71.25,1
25,22,"live",90.05,1
25,23,"live",142.466666666667,1
25,24,"live",73.4666666666667,1
25,25,"live",167.15,1
25,26,"live",155.05,1
25,27,"live",90.9,1
25,28,"live",89.85,1
25,29,"live",41.6833333333333,1
25,30,"live",123.5,1
25,31,"live",74.1333333333333,1
25,32,"live",94.0166666666667,1
26,1,"live",NA,1
26,2,"live",98.05,1
26,3,"live",96.5333333333333,1
26,4,"live",117.05,1
26,5,"live",107.75,1
26,6,"live",125.216666666667,1
26,7,"live",140.866666666667,1
26,8,"live",162.333333333333,1
26,9,"live",89.95,1
26,10,"live",117.216666666667,1
26,11,"live",90.2,1
26,12,"live",93.1333333333333,1
26,13,"live",52.2,1
26,14,"live",44.2,1
26,15,"live",92.2666666666667,1
26,16,"live",91.7166666666667,1
26,17,"live",95.1166666666667,1
26,18,"live",99.0666666666667,1
26,19,"live",39.45,1
26,20,"live",140.516666666667,1
26,21,"live",69.3666666666667,1
