DFM	Channel	Treatment
1	1	CS Yeast
1	2	CS Yeast
1	3	CS Yeast
1	4	CS Yeast
1	5	CS Yeast
1	6	CS Yeast
1	7	CS Yeast
1	8	CS Yeast
1	9	CS Yeast
1	10	CS Yeast
1	11	CS Yeast
1	12	CS Yeast
1	13	CS Yeast
1	14	CS Yeast
1	15	CS Yeast
1	16	CS Yeast
1	17	CS Yeast
1	18	CS Yeast
1	19	CS Yeast
1	20	CS Yeast
1	21	CS Yeast
1	22	CS Yeast
1	23	CS Yeast
1	24	CS Yeast
1	25	CS Yeast
1	26	CS Yeast
1	27	CS Yeast
1	28	CS Yeast
1	29	CS Yeast
1	30	CS Yeast
1	31	CS Yeast
1	32	CS Yeast
2	1	CS Yeast
2	2	CS Yeast
2	3	CS Yeast
2	4	CS Yeast
2	5	CS Yeast
2	6	CS Yeast
2	7	CS Yeast
2	8	CS Yeast
2	9	CS Yeast
2	10	CS Yeast
2	11	CS Yeast
2	12	CS Yeast
2	13	CS Yeast
2	14	CS Yeast
2	15	CS Yeast
2	16	CS Yeast
2	17	CS Yeast
2	18	CS Yeast
2	19	CS Yeast
2	20	CS Yeast
2	21	CS Yeast
2	22	CS Yeast
2	23	CS Yeast
2	24	CS Yeast
2	25	CS Yeast
2	26	CS Yeast
2	27	CS Yeast
2	28	CS Yeast
2	29	CS Yeast
2	30	CS Yeast
2	31	CS Yeast
2	32	CS Yeast
13	1	CS Cont
13	2	CS Cont
13	3	CS Cont
13	4	CS Cont
13	5	CS Cont
13	6	CS Cont
13	7	CS Cont
13	8	CS Cont
13	9	CS Cont
13	10	CS Cont
13	11	CS Cont
13	12	CS Cont
13	13	CS Cont
13	14	CS Cont
13	15	CS Cont
13	16	CS Cont
13	17	CS Cont
13	18	CS Cont
13	19	CS Cont
13	20	CS Cont
13	21	CS Cont
13	22	CS Cont
13	23	CS Cont
13	24	CS Cont
13	25	CS Cont
13	26	CS Cont
13	27	CS Cont
13	28	CS Cont
13	29	CS Cont
13	30	CS Cont
13	31	CS Cont
13	32	CS Cont
14	1	CS Cont
14	2	CS Cont
14	3	CS Cont
14	4	CS Cont
14	5	CS Cont
14	6	CS Cont
14	7	CS Cont
14	8	CS Cont
14	9	CS Cont
14	10	CS Cont
14	11	CS Cont
14	12	CS Cont
14	13	CS Cont
14	14	CS Cont
14	15	CS Cont
14	16	CS Cont
14	17	CS Cont
14	18	CS Cont
14	19	CS Cont
14	20	CS Cont
14	21	CS Cont
14	22	CS Cont
14	23	CS Cont
14	24	CS Cont
14	25	CS Cont
14	26	CS Cont
14	27	CS Cont
14	28	CS Cont
14	29	CS Cont
14	30	CS Cont
14	31	CS Cont
14	32	CS Cont
15	1	W Yeast
15	2	W Yeast
15	3	W Yeast
15	4	W Yeast
15	5	W Yeast
15	6	W Yeast
15	7	W Yeast
15	8	W Yeast
15	9	W Yeast
15	10	W Yeast
15	11	W Yeast
15	12	W Yeast
15	13	W Yeast
15	14	W Yeast
15	15	W Yeast
15	16	W Yeast
15	17	W Yeast
15	18	W Yeast
15	19	W Yeast
15	20	W Yeast
15	21	W Yeast
15	22	W Yeast
15	23	W Yeast
15	24	W Yeast
15	25	W Yeast
15	26	W Yeast
15	27	W Yeast
15	28	W Yeast
15	29	W Yeast
15	30	W Yeast
15	31	W Yeast
15	32	W Yeast
16	1	W Cont
16	2	W Cont
16	3	W Cont
16	4	W Cont
16	5	W Cont
16	6	W Cont
16	7	W Cont
16	8	W Cont
16	9	W Cont
16	10	W Cont
16	11	W Cont
16	12	W Cont
16	13	W Cont
16	14	W Cont
16	15	W Cont
16	16	W Cont
16	17	W Cont
16	18	W Cont
16	19	W Cont
16	20	W Cont
16	21	W Cont
16	22	W Cont
16	23	W Cont
16	24	W Cont
16	25	W Cont
16	26	W Cont
16	27	W Cont
16	28	W Cont
16	29	W Cont
16	30	W Cont
16	31	W Cont
16	32	W Cont
